Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags
Way Maker,Leeland,D,F,68,4/4,miracles; faith; presence; comfort,modern; ccli_top; miracle; faith; encouragement
Build My Life,Pat Barrett,D,F,72,4/4,lordship; holiness; surrender; discipleship,modern; foundation; discipleship; response_song
Graves Into Gardens,Elevation Worship,B,D,72,6/8,resurrection; new-life; hope; power-of-god,modern; resurrection; celebration; testimony
Goodness Of God,Bethel Music,A,C,70,6/8,faithfulness; gratitude; trust; testimony,modern; faithfulness; testimony; slow_build
Living Hope,Phil Wickham,C,E,68,4/4,gospel; cross; resurrection; grace,modern; gospel_central; easter; communion
Great Are You Lord,All Sons & Daughters,D,F,72,6/8,creation; breath-of-god; praise; dependence,modern; praise; call_to_worship; slow_anthem
What A Beautiful Name,Hillsong Worship,D,F,68,4/4,name-of-jesus; incarnation; cross; victory,modern; christ_exalting; name_of_jesus; anthem
Who You Say I Am,Hillsong Worship,G,Bb,86,4/4,identity-in-christ; adoption; freedom; grace,modern; identity; freedom; youth_friendly
Raise A Hallelujah,Bethel Music,D,F,82,4/4,spiritual-battle; praise-in-trial; faith; victory,modern; battle; encouragement; faith_in_storm
This Is Amazing Grace,Phil Wickham,Bb,D,98,4/4,grace; cross; victory; praise,modern; upbeat; gospel_central; service_opener
King Of Kings,Hillsong Worship,D,F,68,4/4,gospel_story; incarnation; resurrection; church,modern; story; gospel_overview; seasonal
"10,000 Reasons",Matt Redman,G,Bb,74,4/4,gratitude; faithfulness; lifelong-worship,modern_hymn; gratitude; intergenerational; flexible_style
Great Things,Phil Wickham,B,D,126,4/4,victory; praise; redemption; celebration,modern; upbeat; celebration; service_opener
Glorious Day,Passion,D,F,144,4/4,salvation; testimony; freedom; resurrection,modern; testimony; baptism; youth_energy
Lord I Need You,Matt Maher,D,F,72,4/4,dependence; confession; grace; prayer,modern_hymn; confession; ministry_time; prayer_song
In Christ Alone,Keith Getty & Stuart Townend,D,F,68,3/4,christ_central; cross; resurrection; assurance,modern_hymn; doctrinal; cross_centered; intergenerational
The Lion And The Lamb,Bethel Music,B,D,90,4/4,kingship; victory; cross-and-crown,modern; kingship; victory; upbeat
How Great Is Our God,Chris Tomlin,G,Bb,76,4/4,greatness-of-god; trinity; praise,modern_classic; praise; intergenerational; flexible
The Blessing,Kari Jobe & Cody Carnes,Bb,D,72,4/4,blessing; generations; favor; presence,modern; benediction; family; special_moments
Cornerstone,Hillsong Worship,C,E,72,4/4,christ_our_rock; grace; hope; security,modern_hymn; foundation; comfort; storm
See A Victory,Elevation Worship,Bb,D,76,4/4,spiritual-battle; trust; sovereignty,modern; battle; encouragement; trust
Reckless Love,Cory Asbury,G,Bb,84,6/8,love-of-god; pursuit; grace,modern; love_of_god; ministry_nights; pastoral_moment
King Of My Heart,John Mark & Sarah McMillan,G,Bb,68,4/4,goodness-of-god; trust; surrender,modern; trust; comfort; reflection
O Come To The Altar,Elevation Worship,Bb,D,72,6/8,invitation; forgiveness; grace; repentance,modern; altar_call; ministry_time; gentle
Amazing Grace (My Chains Are Gone),Chris Tomlin,D,F,72,3/4,grace; freedom; assurance,modern_hymn; grace; freedom; communion
O Praise The Name (An'e1stasis),Hillsong Worship,D,F,72,3/4,cross; resurrection; return-of-christ; praise,modern; easter; story; communion
Good Good Father,Chris Tomlin,A,C,72,6/8,father_heart_of_god; identity; love,modern; fatherhood_of_god; healing; identity
How Great Thou Art,Traditional,A,C,72,3/4,creation; cross; second-coming; awe,hymn; classic; awe; intergenerational
Battle Belongs,Phil Wickham,B,D,82,4/4,spiritual-battle; trust; sovereignty,modern; battle; trust; encouragement
Yes I Will,Vertical Worship,C,E,86,4/4,choice-to-worship; faith-in-trial; praise,modern; faithfulness; choice; mid_tempo
Revelation Song,Kari Jobe,D,F,66,4/4,holiness; throne-room; worship_of_the_lamb,modern; throne_room; awe; extended_worship
Holy Spirit,Bryan & Katie Torwalt,D,F,72,4/4,presence-of-god; spirit; surrender,modern; spirit; ministry_time; prayer
Do It Again,Elevation Worship,Bb,D,86,4/4,faithfulness; waiting; trust,modern; waiting; faithfulness; encouragement
Hymn Of Heaven,Phil Wickham,D,F,70,4/4,heaven; hope; saints; worship,modern; heaven; remembrance; hope
Is He Worthy,Andrew Peterson,E,G,72,3/4,call-and-response; worthiness-of-christ; lament-and-hope,modern_hymn; response; lament_and_hope; throne_room
Jesus Messiah,Chris Tomlin,A,C,70,4/4,cross; atonement; lordship,modern; cross; communion; christ_central
Mighty To Save,Hillsong Worship,A,C,72,4/4,salvation; compassion; mission,modern_classic; salvation; mission; mid_tempo
My Jesus,Anne Wilson,G,Bb,76,4/4,testimony; evangelism; hope,modern; testimony; evangelistic; story
Only King Forever,Elevation Worship,C,E,134,4/4,kingship; victory; praise,modern; upbeat; kingship; opener
Open The Eyes Of My Heart,Paul Baloche,E,G,104,4/4,revelation; holiness; vision,classic_modern; prayer_for_revelation; pre_sermon; mid_tempo
Our God,Chris Tomlin,D,F,104,4/4,sovereignty; power; presence,modern_classic; power; faith; upbeat
Praise Is Rising,Brenton Brown,D,F,102,4/4,call-to-worship; welcome; presence,modern; opener; call_to_worship; mid_tempo
Promises,Maverick City Music,Bb,D,72,4/4,faithfulness; covenant; trust,modern; faithfulness; gospel_influenced; extended
Same God,Elevation Worship,Bb,D,72,4/4,unchanging-god; faith; prayer,modern; attributes_of_god; faith; story_link
Shout To The Lord,Darlene Zschech,A,C,80,4/4,praise; majesty; security,modern_classic; praise; intergenerational; anthem
This I Believe (The Creed),Hillsong Worship,G,Bb,72,4/4,creed; doctrine; identity,modern; creedal; doctrinal; confession
Tremble,Mosaic MSC,C,E,72,4/4,name-of-jesus; peace; spiritual-warfare,modern; peace; name_of_jesus; ministry
Worthy Of It All,David Brymer,D,F,70,4/4,worth-of-christ; unceasing-worship; throne_room,modern; throne_room; extended_worship; adoration
Yet Not I But Through Christ In Me,CityAlight,C,E,72,4/4,grace; union-with-christ; pilgrimage,modern_hymn; grace; discipleship; reflection
House Of The Lord,Phil Wickham,B,D,86,4/4,joy; celebration; identity,modern; joy; gathering; opener
Blessed Be Your Name,Matt Redman,A,D,116,4/4,trust; praise; surrender; sovereignty,classic; ccli_top; anthem; declaration
Take You At Your Word,Cody Carnes & Benjamin Hastings,D,G,172,12/8,faith; promise; trust; scripture,modern; upbeat; declaration; faith
Victory In Jesus,Eugene M. Bartlett (Traditional Hymn),A,D,144,4/4,victory; salvation; triumph; cross,hymn; classic; gospel; celebration
His Mercy Is More,Matt Boswell & Matt Papa,F,Bb,63,6/8,grace; mercy; forgiveness; redemption,modern_hymn; reflective; communion; grace
We Praise You,Matt Redman & Brandon Lake,A,D,82,4/4,praise; victory; faith; celebration,modern; anthem; celebration; warfare
How Deep The Father's Love For Us,Stuart Townend,D,G,55,3/4,cross; love; sacrifice; devotion,modern_hymn; communion; cross; reflective
The Heart Of Worship,Matt Redman,D,A,72,4/4,worship; humility; surrender; devotion,classic; introspective; surrender; response
Abide,Aaron Williams (The Worship Initiative),B,E,74,6/8,presence; surrender; dependence; rest,reflective; prayer; presence; intimate
Worthy,Elevation Worship,D,G,67,4/4,worship; glory; adoration; holiness,worship; adoration; slow; heavenly
Praise You Anywhere,Brandon Lake,B,E,108,4/4,praise; joy; perseverance; freedom,modern; upbeat; joy; declaration
Jesus Paid It All,Passion (Kristian Stanfill),B,D,76,4/4,cross; salvation; forgiveness; gratitude,hymn; modern_arrangement; cross; communion
No Longer Slaves,Bethel Music (Jonathan & Melissa Helser),Bb,Eb,74,4/4,freedom; identity; fear; trust,modern; ccli_top; identity; freedom
Made For More,Josh Baldwin,D,A,148,4/4,identity; purpose; calling; faith,modern; upbeat; identity; anthem
Agnus Dei,Michael W. Smith,A,D,68,4/4,worship; holiness; majesty; reverence,classic; worship; heavenly; communion
You've Already Won,Shane & Shane,Db,G,76,6/8,victory; hope; trust; assurance,modern; declaration; victory; hope
Because He Lives,Bill & Gloria Gaither,A,D,72,4/4,resurrection; hope; victory; eternal_life,hymn; classic; easter; hope
Run To The Father,Cody Carnes,C,F,68,6/8,grace; surrender; forgiveness; fatherhood,modern; reflective; grace; surrender
Promises,Maverick City Music,Bb,Eb,74,6/8,faithfulness; promise; trust; steadfastness,modern; soulful; faithfulness; declaration
Holy Water,We The Kingdom,B,D,73,4/4,forgiveness; freedom; joy,modern; upbeat; celebration; grace
Egypt,Bethel Music (Cory Asbury),G,C,75,4/4,deliverance; thanksgiving; power,modern; declaration; deliverance; testimony
New Wine,Hillsong Worship,G,Bb,70,4/4,surrender; renewal; holy_spirit,modern; ccli_top; surrender; reflective
All Hail King Jesus,Jeremy Riddle,C,F,74,4/4,lordship; worship; resurrection,modern; anthem; easter; declaration
Make Room,Community Music,F,G,61,4/4,surrender; lordship; devotion,modern; prayer; surrender; intimate
Canvas and Clay,Pat Barrett,A,D,70,4/4,sovereignty; purpose; identity,modern; encouragement; identity; reflective
Too Good To Not Believe,Bethel Music (Brandon Lake),Bb,Eb,72,4/4,faith; miracles; power,modern; faith; declaration; testimony
Jireh,Elevation Worship & Maverick City Music,C,F,70,4/4,provision; contentment; faith,modern; ccli_top; provision; soulful
Build Your Church,Elevation Worship & Maverick City Music,A,D,89,6/8,church; unity; kingdom,modern; ccli_top; anthem; unity
Indescribable,Chris Tomlin,A,D,180,4/4,creation; awe; power,classic; upbeat; creation; anthem
Behold (Then Sings My Soul),Phil Wickham,A,D,74,4/4,sacrifice; awe; resurrection,modern; easter; cross; anthem
Highlands (Song of Ascent),Hillsong UNITED,G,C,92,4/4,presence; faithfulness; trials,modern; epic; declaration; faithfulness
House of Miracles,Brandon Lake,C,E,72,4/4,holy_spirit; faith; healing,modern; faith; healing; declaration
More Than Able,Elevation Worship,C,F,73,4/4,power; hope; trust,modern; ccli_top; faith; declaration
Thank You Jesus For The Blood,Charity Gayle,G,Bb,61,4/4,salvation; gratitude; cross,modern; ccli_top; communion; gratitude
Christ Is Mine Forevermore,CityAlight,A,D,144,4/4,hope; suffering; eternity,modern_hymn; hope; perseverance; eternity
Beneath The Waters (I Will Rise),Hillsong Worship,F,Ab,74,4/4,baptism; freedom; new_life,modern; baptism; declaration; celebration
Echo Holy,Red Rocks Worship,A,D,90,4/4,holiness; heaven; reverence,modern; worship; heavenly; reverence
I Am Not Alone,Kari Jobe,C,E,68,4/4,presence; comfort; faithfulness,modern; comfort; presence; encouragement
Nothing Else,Cody Carnes,C,E,68,4/4,seeking; repentance; devotion,modern; intimate; prayer; surrender
Good And Gracious King,CityAlight,A,C,79,4/4,grace; humility; worship,modern_hymn; grace; communion; reverence
Fear Is Not My Future,Maverick City Music & Elevation Worship,C,F,69,4/4,hope; breakthrough; healing,modern; ccli_top; hope; declaration
There Is A King,Elevation Worship,E,A,64,4/4,reign; hope; worship,modern; worship; kingdom; reverence
Peace Be Still,The Belonging Co (Hope Darst),F,A,72,4/4,trust; peace; faith,modern; peace; comfort; prayer
The Goodness of Jesus,CityAlight,G,C,70,4/4,rest; satisfaction; goodness,modern_hymn; rest; comfort; intimate
My Worth Is Not In What I Own,Keith & Kristyn Getty,C,E,65,4/4,identity; grace; humility,modern_hymn; identity; humility; reflective
Hosanna,Hillsong UNITED,C,E,77,4/4,revival; surrender; glory,classic; ccli_top; revival; anthem
The More I Seek You,Gateway Worship (Kari Jobe),C,E,86,4/4,intimacy; love; rest,classic; intimate; prayer; devotion
Refiner's Fire,Brian Doerksen,D,G,75,4/4,purification; holiness; surrender,classic; prayer; holiness; surrender
Forever,Chris Tomlin,A,D,118,4/4,faithfulness; thanksgiving; praise,classic; upbeat; celebration; faithfulness
Holy Is The Lord,Chris Tomlin,A,D,84,4/4,holiness; glory; worship,classic; ccli_top; holiness; anthem
I Will Follow,Chris Tomlin,G,C,96,4/4,discipleship; trust; obedience,modern; declaration; discipleship; commitment
Whom Shall I Fear (God of Angel Armies),Chris Tomlin,C,F,74,4/4,trust; protection; fear,modern; ccli_top; encouragement; declaration
Jesus Is Alive,Phil Wickham,D,A,140,4/4,resurrection; victory; joy,modern; easter; celebration; upbeat
Behold Our God,Sovereign Grace Music,C,F,76,4/4,majesty; sovereignty; adoration,modern_hymn; worship; majesty; reverence
All I Have Is Christ,Sovereign Grace Music,G,C,76,4/4,sufficiency; testimony; surrender,modern_hymn; communion; testimony; surrender
Not What My Hands Have Done,Sovereign Grace Music,C,F,70,4/4,grace; atonement; humility,hymn; grace; communion; reflective
O Church Arise,Keith Getty & Stuart Townend,D,G,78,4/4,mission; warfare; unity,modern_hymn; mission; declaration; anthem
Come Behold The Wondrous Mystery,Matt Papa & Matt Boswell,D,G,77,4/4,gospel; incarnation; redemption,modern_hymn; gospel; christmas; easter
Holy Spirit,Bryan & Katie Torwalt,D,A,72,4/4,holy_spirit; presence; invocation,modern; ccli_top; prayer; presence
Spirit Lead Me,Influence Music (Michael Ketterer),G,C,59,4/4,guidance; surrender; trust,modern; prayer; surrender; intimate
Rest On Us,Maverick City Music / UPPERROOM,G,Bb,72,4/4,revival; holy_spirit; pentecost,modern; revival; prayer; holy_spirit
Fall Afresh,Jeremy Riddle / Bethel Music,A,D,76,4/4,renewal; holy_spirit; revival,modern; revival; prayer; renewal
When I Survey The Wondrous Cross,Traditional Hymn (Isaac Watts),D,G,70,4/4,cross; sacrifice; devotion,hymn; classic; communion; cross
Nothing But The Blood,Traditional Hymn (Robert Lowry),G,C,90,4/4,atonement; salvation; blood,hymn; classic; communion; atonement
Man of Sorrows,Hillsong Worship,F,Bb,72,4/4,crucifixion; redemption; sacrifice,modern; easter; cross; communion
